sehir,semt,ev_tipi,oda_sayisi,net_metrekare,brut_metrekare,bina_yasi,bulundugu_kat,kat_sayisi,banyo_sayisi,balkon,isitma_tipi,otopark,site_ici,esyali_durum,fiyat_tl
Gaziantep,Çankaya,Tripleks,3+1,240,293,26-30,10,20,3,Yok,Doğalgaz,Açık Otopark,Evet,Eşyasız,1123384
Samsun,Beylikdüzü,Rezidans,4+1,236,275,26-30,4,2,1,Yok,Doğalgaz,Açık Otopark,Evet,Eşyasız,1213049
Adana,Küçükçekmece,Villa,2+1,294,352,26-30,Bahçe Katı,2,4,Yok,Klima,Açık Otopark,Evet,Eşyasız,1847255
Konya,Üsküdar,Rezidans,1+1,118,143,30+,15,14,1,Var,Yerden Isıtma,Kapalı Otopark,Hayır,Yarı Eşyalı,388574
Bursa,Merkez,Rezidans,1+0,182,208,6-10,6,12,4,Yok,Doğalgaz,Yok,Hayır,Eşyasız,1860811
Kayseri,Kadıköy,Villa,4+2,244,312,0-5,Bahçe Katı,1,3,Yok,Soba,Kapalı Otopark,Hayır,Eşyasız,1060429
Ankara,Beylikdüzü,Müstakil Ev,1+1,296,363,16-20,Bahçe Katı,3,1,Yok,Yerden Isıtma,Açık Otopark,Evet,Yarı Eşyalı,2506363
Konya,Avcılar,Müstakil Ev,5+1,183,212,0-5,Bahçe Katı,1,2,Var,Kombi,Yok,Evet,Eşyasız,1873079
Konya,Bağcılar,Daire,3+1,123,149,26-30,15,10,4,Var,Kombi,Var,Hayır,Eşyalı,216066
Samsun,Arnavutköy,Daire,5+2,244,314,6-10,9,20,3,Yok,Soba,Açık Otopark,Hayır,Eşyasız,1010081
Konya,Kadıköy,Villa,3+1,399,447,21-25,Bahçe Katı,3,1,Var,Merkezi,Kapalı Otopark,Hayır,Eşyasız,1489966
Samsun,Zeytinburnu,Daire,3+1,111,136,16-20,2,19,5,Var,Klima,Açık Otopark,Evet,Yarı Eşyalı,608825
Diyarbakır,Bahçelievler,Dubleks,3+1,196,231,21-25,14,5,5,Var,Klima,Yok,Evet,Eşyalı,886811
Denizli,Şişli,Rezidans,4+1,243,292,11-15,5,2,3,Var,Merkezi,Yok,Hayır,Eşyalı,902593
Mersin,Ataşehir,Müstakil Ev,4+2,244,311,21-25,Bahçe Katı,2,2,Yok,Merkezi,Açık Otopark,Hayır,Eşyasız,2261912
Antalya,Beyoğlu,Tripleks,5+2,200,237,0-5,2,15,3,Yok,Klima,Kapalı Otopark,Evet,Eşyalı,3876557
Samsun,Beylikdüzü,Daire,4+2,173,204,0-5,13,8,3,Yok,Yerden Isıtma,Yok,Evet,Yarı Eşyalı,1098276
Denizli,Avcılar,Villa,4+1,425,545,11-15,Bahçe Katı,1,3,Var,Soba,Açık Otopark,Evet,Eşyalı,2823913
Adana,Kartal,Rezidans,2+1,241,270,30+,2,20,5,Yok,Kombi,Açık Otopark,Evet,Eşyasız,1142126
Samsun,Eminönü,Rezidans,2+1,162,200,6-10,14,13,2,Var,Soba,Var,Hayır,Yarı Eşyalı,663996
Konya,Üsküdar,Villa,3+1,459,533,30+,Bahçe Katı,1,2,Yok,Yerden Isıtma,Yok,Evet,Eşyasız,2058753
Mersin,Fatih,Dubleks,1+1,193,237,16-20,11,16,2,Var,Kombi,Yok,Evet,Eşyalı,2018452
Mersin,Fatih,Dubleks,4+2,306,372,30+,1,6,1,Var,Klima,Kapalı Otopark,Hayır,Eşyasız,1799479
Şanlıurfa,Avcılar,Müstakil Ev,1+1,298,354,11-15,Bahçe Katı,2,2,Yok,Kombi,Var,Evet,Yarı Eşyalı,1685259
Gaziantep,Bağcılar,Tripleks,2+1,247,275,26-30,13,1,3,Yok,Klima,Yok,Evet,Eşyalı,953973
Samsun,Maltepe,Dubleks,5+1,284,327,26-30,1,14,1,Var,Merkezi,Yok,Evet,Yarı Eşyalı,1542111
Samsun,Şişli,Tripleks,2+1,310,348,0-5,13,18,2,Var,Doğalgaz,Kapalı Otopark,Hayır,Eşyalı,1713347
Adana,Küçükçekmece,Villa,1+1,338,406,0-5,Bahçe Katı,2,3,Var,Kombi,Kapalı Otopark,Hayır,Eşyasız,5258040
Ankara,Silivri,Villa,4+1,473,601,21-25,Bahçe Katı,3,4,Var,Doğalgaz,Açık Otopark,Evet,Eşyasız,7119298
Kayseri,Fatih,Daire,5+1,245,301,21-25,9,10,3,Var,Kombi,Var,Hayır,Eşyalı,523498
Diyarbakır,Beylikdüzü,Daire,3+1,130,152,26-30,9,17,3,Yok,Kombi,Yok,Hayır,Yarı Eşyalı,463572
Gaziantep,Kadıköy,Rezidans,1+0,116,142,26-30,3,20,5,Var,Kombi,Açık Otopark,Evet,Eşyalı,578672
İstanbul,Beyoğlu,Rezidans,1+1,111,138,6-10,15,19,5,Yok,Merkezi,Yok,Hayır,Eşyasız,2769860
Adana,Çankaya,Tripleks,5+2,323,364,6-10,10,10,1,Yok,Soba,Açık Otopark,Evet,Eşyalı,3110970
Samsun,Üsküdar,Tripleks,2+1,194,240,11-15,12,16,3,Yok,Merkezi,Yok,Evet,Eşyasız,1702800
Mersin,Kartal,Tripleks,5+1,230,268,21-25,7,7,4,Yok,Klima,Açık Otopark,Hayır,Eşyalı,706317
Samsun,Kartal,Tripleks,3+1,282,315,6-10,9,1,2,Var,Doğalgaz,Açık Otopark,Hayır,Yarı Eşyalı,2773825
Antalya,Üsküdar,Daire,1+0,67,76,11-15,2,10,5,Yok,Kombi,Yok,Evet,Eşyalı,991644
Diyarbakır,Çatalca,Villa,1+0,446,559,0-5,Bahçe Katı,2,5,Var,Merkezi,Açık Otopark,Evet,Eşyasız,4300755
İzmir,Bağcılar,Rezidans,5+2,180,219,6-10,11,6,2,Var,Soba,Var,Hayır,Eşyasız,1212448
İzmir,Maltepe,Rezidans,4+2,169,209,16-20,9,4,2,Var,Merkezi,Açık Otopark,Hayır,Yarı Eşyalı,1334868
Mersin,Arnavutköy,Rezidans,4+1,168,193,21-25,15,8,5,Yok,Soba,Açık Otopark,Evet,Eşyalı,592065
Gaziantep,Zeytinburnu,Müstakil Ev,5+2,180,200,26-30,Bahçe Katı,1,3,Yok,Yerden Isıtma,Yok,Hayır,Eşyalı,940195
Şanlıurfa,Arnavutköy,Rezidans,3+1,187,237,21-25,4,14,5,Var,Merkezi,Kapalı Otopark,Hayır,Yarı Eşyalı,803023
Ankara,Üsküdar,Villa,4+1,324,372,26-30,Bahçe Katı,2,5,Yok,Doğalgaz,Yok,Evet,Eşyasız,3612465
Antalya,Arnavutköy,Müstakil Ev,5+1,173,214,11-15,Bahçe Katı,3,1,Yok,Soba,Yok,Evet,Eşyasız,1667433
İstanbul,Avcılar,Rezidans,5+2,181,222,0-5,15,6,5,Yok,Kombi,Açık Otopark,Evet,Eşyalı,2498213
Şanlıurfa,Beşiktaş,Dubleks,2+1,181,214,21-25,12,17,2,Var,Yerden Isıtma,Açık Otopark,Evet,Yarı Eşyalı,902793
Diyarbakır,Çatalca,Villa,1+1,453,562,6-10,Bahçe Katı,2,4,Yok,Merkezi,Yok,Evet,Eşyalı,3405634
Konya,Avcılar,Villa,5+2,300,382,0-5,Bahçe Katı,3,2,Var,Soba,Var,Evet,Eşyalı,1988748
Ankara,Üsküdar,Villa,1+1,456,530,16-20,Bahçe Katı,3,5,Var,Klima,Kapalı Otopark,Evet,Eşyasız,6468928
Konya,Zeytinburnu,Daire,3+1,158,196,16-20,12,9,1,Yok,Yerden Isıtma,Kapalı Otopark,Hayır,Yarı Eşyalı,628792
İzmir,Çatalca,Rezidans,5+2,81,104,30+,2,5,4,Var,Klima,Var,Evet,Eşyalı,606778
Şanlıurfa,Bağcılar,Rezidans,5+1,90,107,30+,2,14,1,Yok,Kombi,Açık Otopark,Evet,Eşyasız,154528
Mersin,Beyoğlu,Villa,5+1,433,561,0-5,Bahçe Katı,1,2,Yok,Soba,Yok,Evet,Yarı Eşyalı,4053003
Gaziantep,Zeytinburnu,Villa,5+1,435,542,30+,Bahçe Katı,2,2,Var,Klima,Yok,Evet,Eşyalı,939423
Bursa,Eminönü,Rezidans,1+0,148,184,16-20,4,9,5,Var,Merkezi,Yok,Evet,Eşyalı,1411062
Antalya,Kartal,Tripleks,4+1,347,408,0-5,11,20,1,Var,Soba,Var,Hayır,Eşyasız,8224688
Mersin,Beşiktaş,Villa,1+0,229,251,6-10,Bahçe Katı,1,5,Var,Yerden Isıtma,Yok,Evet,Eşyasız,1304520
Konya,Ataşehir,Villa,3+1,316,354,11-15,Bahçe Katı,1,5,Var,Soba,Var,Evet,Yarı Eşyalı,3473576
Denizli,Kadıköy,Müstakil Ev,4+2,288,365,26-30,Bahçe Katı,2,3,Var,Yerden Isıtma,Açık Otopark,Hayır,Yarı Eşyalı,1493433
Adana,Arnavutköy,Rezidans,1+1,188,213,16-20,2,11,1,Var,Kombi,Yok,Hayır,Eşyalı,494741
Mersin,Çatalca,Müstakil Ev,5+2,259,297,11-15,Bahçe Katı,1,5,Var,Merkezi,Açık Otopark,Hayır,Yarı Eşyalı,2201978
Ankara,Arnavutköy,Tripleks,5+2,203,257,11-15,2,8,1,Yok,Merkezi,Yok,Evet,Eşyasız,2163974
Şanlıurfa,Merkez,Daire,1+1,76,95,21-25,10,12,2,Var,Yerden Isıtma,Var,Evet,Eşyasız,276776
Gaziantep,Beyoğlu,Dubleks,5+1,236,285,11-15,1,15,2,Yok,Klima,Açık Otopark,Evet,Eşyalı,1460636
Antalya,Bakırköy,Villa,3+1,320,371,11-15,Bahçe Katı,1,5,Yok,Merkezi,Yok,Evet,Yarı Eşyalı,8794545
Bursa,Beylikdüzü,Villa,3+1,385,457,11-15,Bahçe Katı,2,2,Yok,Merkezi,Yok,Hayır,Eşyalı,1975363
Mersin,Üsküdar,Müstakil Ev,1+0,203,247,6-10,Bahçe Katı,2,5,Var,Doğalgaz,Açık Otopark,Evet,Eşyasız,1192694
Adana,Arnavutköy,Rezidans,2+1,151,191,11-15,12,1,1,Yok,Yerden Isıtma,Açık Otopark,Evet,Eşyalı,502562
İzmir,Beşiktaş,Müstakil Ev,1+1,270,330,16-20,Bahçe Katı,1,3,Yok,Klima,Yok,Hayır,Eşyalı,3145319
Eskişehir,Silivri,Müstakil Ev,4+1,183,233,0-5,Bahçe Katı,3,5,Var,Kombi,Açık Otopark,Evet,Yarı Eşyalı,826978
Mersin,Bakırköy,Tripleks,1+0,347,427,16-20,8,19,2,Var,Soba,Var,Evet,Eşyasız,2592848
Eskişehir,Çankaya,Dubleks,1+0,206,244,21-25,4,14,4,Yok,Yerden Isıtma,Açık Otopark,Evet,Eşyalı,1363474
Eskişehir,Şişli,Daire,5+1,224,286,21-25,5,14,5,Yok,Doğalgaz,Kapalı Otopark,Hayır,Eşyasız,904225
İzmir,Küçükçekmece,Villa,4+1,454,544,21-25,Bahçe Katı,2,2,Yok,Soba,Var,Evet,Eşyalı,7665930
Adana,Kadıköy,Tripleks,1+0,194,238,16-20,7,4,3,Yok,Doğalgaz,Var,Hayır,Eşyasız,1740724
Ankara,Beyoğlu,Rezidans,1+1,118,136,26-30,15,19,4,Yok,Kombi,Yok,Hayır,Eşyasız,816517
Konya,Büyükçekmece,Rezidans,4+2,82,102,6-10,3,20,3,Var,Merkezi,Yok,Evet,Eşyalı,427351
Bursa,Silivri,Rezidans,5+1,157,183,26-30,10,13,3,Var,Yerden Isıtma,Yok,Evet,Eşyalı,1225703
Diyarbakır,Beyoğlu,Rezidans,3+1,172,221,21-25,7,7,3,Yok,Soba,Var,Evet,Eşyasız,684264
Eskişehir,Pendik,Daire,1+0,75,86,0-5,1,11,1,Var,Soba,Var,Hayır,Yarı Eşyalı,656222
Adana,Çatalca,Dubleks,1+0,219,274,11-15,3,3,4,Var,Soba,Kapalı Otopark,Evet,Yarı Eşyalı,1044466
İstanbul,Bağcılar,Villa,1+0,225,250,26-30,Bahçe Katı,1,1,Var,Merkezi,Kapalı Otopark,Evet,Yarı Eşyalı,7079022
Samsun,Silivri,Müstakil Ev,4+1,140,174,6-10,Bahçe Katı,2,3,Var,Merkezi,Yok,Hayır,Eşyasız,835818
Gaziantep,Bağcılar,Dubleks,5+2,249,293,16-20,7,1,1,Yok,Soba,Kapalı Otopark,Hayır,Yarı Eşyalı,1727674
Antalya,Kadıköy,Tripleks,4+1,249,300,11-15,7,9,4,Yok,Doğalgaz,Açık Otopark,Evet,Eşyasız,3926238
İstanbul,Fatih,Rezidans,4+1,99,123,30+,15,8,1,Yok,Yerden Isıtma,Yok,Hayır,Yarı Eşyalı,1020696
Ankara,Pendik,Rezidans,1+1,249,278,21-25,12,18,4,Var,Klima,Yok,Evet,Eşyalı,1243085
Mersin,Beylikdüzü,Rezidans,1+1,158,190,11-15,11,17,5,Var,Doğalgaz,Açık Otopark,Evet,Yarı Eşyalı,832170
Samsun,Çatalca,Müstakil Ev,4+1,172,214,0-5,Bahçe Katı,2,2,Var,Kombi,Yok,Evet,Eşyasız,2034298
Diyarbakır,Beylikdüzü,Daire,1+1,69,81,21-25,14,5,1,Yok,Kombi,Yok,Evet,Eşyalı,213818
Konya,Kadıköy,Müstakil Ev,3+1,292,341,11-15,Bahçe Katı,1,1,Var,Yerden Isıtma,Açık Otopark,Evet,Eşyasız,1571480
Diyarbakır,Beşiktaş,Rezidans,4+1,144,160,21-25,6,6,3,Var,Soba,Yok,Hayır,Yarı Eşyalı,317170
İstanbul,Bağcılar,Villa,5+2,263,299,30+,Bahçe Katı,1,3,Var,Merkezi,Kapalı Otopark,Hayır,Yarı Eşyalı,2897388
Adana,Çatalca,Daire,2+1,108,122,26-30,15,8,5,Var,Soba,Var,Evet,Yarı Eşyalı,448982
Diyarbakır,Bağcılar,Daire,3+1,105,124,26-30,5,17,5,Yok,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyasız,315563
İzmir,Avcılar,Müstakil Ev,2+1,240,289,21-25,Bahçe Katı,1,1,Var,Soba,Açık Otopark,Evet,Eşyasız,2078689
Mersin,Maltepe,Tripleks,2+1,242,266,6-10,11,12,1,Yok,Soba,Kapalı Otopark,Hayır,Eşyalı,2310561
Samsun,Fatih,Rezidans,1+1,192,228,0-5,8,10,5,Var,Klima,Yok,Evet,Eşyasız,2053640
Ankara,Üsküdar,Rezidans,1+0,95,105,30+,1,5,5,Yok,Soba,Açık Otopark,Hayır,Eşyasız,265070
İstanbul,Merkez,Villa,5+2,461,562,26-30,Bahçe Katı,2,5,Var,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyalı,5859822
Ankara,Beylikdüzü,Villa,5+2,307,351,16-20,Bahçe Katı,1,4,Var,Doğalgaz,Kapalı Otopark,Hayır,Eşyasız,1756520
Kayseri,Arnavutköy,Dubleks,4+2,251,294,6-10,5,14,3,Var,Doğalgaz,Yok,Evet,Eşyalı,1712988
Denizli,Şişli,Rezidans,5+1,162,195,21-25,15,13,3,Var,Kombi,Yok,Hayır,Eşyasız,731934
Gaziantep,Zeytinburnu,Villa,4+2,456,543,6-10,Bahçe Katı,1,4,Yok,Klima,Yok,Hayır,Eşyasız,2745991
Adana,Küçükçekmece,Villa,4+1,445,557,16-20,Bahçe Katı,3,3,Var,Soba,Var,Evet,Yarı Eşyalı,5567081
Adana,Fatih,Villa,1+1,318,375,6-10,Bahçe Katı,3,3,Yok,Soba,Var,Hayır,Eşyalı,2252924
Samsun,Kartal,Villa,5+2,438,568,11-15,Bahçe Katı,1,2,Var,Merkezi,Yok,Hayır,Eşyalı,4122176
Denizli,Beylikdüzü,Daire,1+1,46,53,26-30,4,13,5,Yok,Kombi,Var,Evet,Eşyasız,156520
Konya,Çankaya,Tripleks,1+0,305,361,26-30,11,16,4,Var,Klima,Yok,Hayır,Yarı Eşyalı,1406953
Şanlıurfa,Beşiktaş,Rezidans,4+2,184,203,26-30,1,14,3,Var,Yerden Isıtma,Yok,Hayır,Eşyalı,257850
İzmir,Silivri,Dubleks,4+1,195,215,16-20,7,20,3,Var,Soba,Var,Evet,Yarı Eşyalı,1273158
Antalya,Pendik,Villa,4+1,428,503,16-20,Bahçe Katı,2,2,Yok,Kombi,Kapalı Otopark,Hayır,Eşyasız,4076118
Bursa,Beylikdüzü,Villa,1+0,455,523,30+,Bahçe Katı,1,2,Var,Doğalgaz,Kapalı Otopark,Hayır,Eşyasız,2869446
İzmir,Avcılar,Tripleks,4+2,192,245,6-10,11,1,5,Var,Doğalgaz,Yok,Hayır,Eşyalı,3402604
Eskişehir,Büyükçekmece,Müstakil Ev,4+2,299,372,30+,Bahçe Katı,2,2,Var,Kombi,Kapalı Otopark,Evet,Eşyalı,1374298
Denizli,Arnavutköy,Villa,1+1,207,240,0-5,Bahçe Katı,1,2,Var,Kombi,Kapalı Otopark,Hayır,Yarı Eşyalı,1486717
Denizli,Zeytinburnu,Rezidans,3+1,243,303,26-30,14,2,3,Var,Soba,Yok,Evet,Eşyalı,1284840
Kayseri,Maltepe,Rezidans,4+2,123,150,30+,8,7,2,Var,Klima,Kapalı Otopark,Evet,Eşyalı,446288
Şanlıurfa,Eminönü,Villa,1+1,480,528,16-20,Bahçe Katı,2,1,Var,Doğalgaz,Yok,Evet,Yarı Eşyalı,1625649
Samsun,Beylikdüzü,Müstakil Ev,5+2,156,172,16-20,Bahçe Katı,1,3,Yok,Doğalgaz,Yok,Hayır,Eşyasız,987927
İzmir,Arnavutköy,Daire,4+1,143,164,26-30,14,18,1,Var,Yerden Isıtma,Açık Otopark,Hayır,Eşyalı,1348770
Adana,Eminönü,Tripleks,4+1,275,334,16-20,5,4,3,Yok,Klima,Var,Evet,Eşyalı,2572608
İstanbul,Silivri,Tripleks,5+2,265,332,6-10,10,17,5,Var,Soba,Kapalı Otopark,Evet,Eşyalı,4466929
Konya,Avcılar,Daire,5+2,188,238,0-5,6,2,1,Var,Soba,Var,Hayır,Eşyasız,815826
Mersin,Büyükçekmece,Müstakil Ev,1+0,137,173,30+,Bahçe Katı,3,2,Yok,Klima,Var,Evet,Eşyalı,811079
Bursa,Üsküdar,Müstakil Ev,4+1,296,334,0-5,Bahçe Katı,3,3,Yok,Doğalgaz,Yok,Evet,Eşyasız,4517013
İstanbul,Beşiktaş,Daire,3+1,153,183,30+,6,3,5,Var,Klima,Var,Hayır,Eşyasız,1981154
Gaziantep,Maltepe,Müstakil Ev,3+1,188,233,11-15,Bahçe Katı,3,3,Var,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyasız,815790
Bursa,Şişli,Dubleks,5+2,210,241,11-15,4,5,1,Var,Klima,Yok,Hayır,Yarı Eşyalı,1631277
Gaziantep,Küçükçekmece,Müstakil Ev,4+2,276,311,26-30,Bahçe Katı,2,2,Yok,Yerden Isıtma,Yok,Hayır,Eşyalı,1051170
Antalya,Üsküdar,Rezidans,2+1,144,163,6-10,6,17,1,Yok,Merkezi,Yok,Evet,Yarı Eşyalı,2574055
İzmir,Zeytinburnu,Villa,3+1,491,578,30+,Bahçe Katı,1,3,Yok,Klima,Var,Evet,Eşyasız,2697286
Mersin,Küçükçekmece,Tripleks,4+2,229,272,21-25,9,3,4,Var,Kombi,Açık Otopark,Hayır,Yarı Eşyalı,692827
Denizli,Çankaya,Rezidans,4+2,115,149,30+,13,13,1,Var,Klima,Kapalı Otopark,Evet,Eşyasız,395877
İstanbul,Fatih,Villa,4+1,273,307,30+,Bahçe Katı,1,4,Yok,Kombi,Var,Hayır,Eşyalı,3748531
Adana,Bakırköy,Dubleks,5+2,323,387,26-30,9,7,4,Var,Doğalgaz,Var,Evet,Eşyasız,1969636
Gaziantep,Eminönü,Rezidans,1+0,160,195,16-20,10,13,5,Yok,Kombi,Var,Evet,Eşyasız,1117952
Adana,Kadıköy,Müstakil Ev,5+2,228,264,11-15,Bahçe Katı,2,3,Yok,Klima,Kapalı Otopark,Evet,Yarı Eşyalı,867452
Antalya,Çankaya,Tripleks,2+1,319,363,11-15,12,3,2,Yok,Kombi,Var,Evet,Eşyasız,2504684
Mersin,Kadıköy,Tripleks,1+0,350,439,26-30,14,12,5,Var,Doğalgaz,Açık Otopark,Evet,Eşyalı,1439757
Adana,Maltepe,Müstakil Ev,3+1,256,304,11-15,Bahçe Katı,1,4,Var,Doğalgaz,Var,Evet,Eşyalı,2918228
İstanbul,Çankaya,Rezidans,2+1,104,126,30+,8,11,5,Var,Yerden Isıtma,Yok,Evet,Eşyalı,1956037
Mersin,Üsküdar,Müstakil Ev,2+1,277,325,11-15,Bahçe Katı,2,3,Var,Soba,Kapalı Otopark,Hayır,Eşyasız,2865470
İzmir,Merkez,Müstakil Ev,3+1,150,189,11-15,Bahçe Katı,3,4,Var,Merkezi,Yok,Evet,Eşyasız,2216447
Ankara,Bağcılar,Daire,2+1,77,87,30+,2,14,2,Var,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,360581
Denizli,Ataşehir,Villa,4+1,328,425,11-15,Bahçe Katı,2,1,Yok,Kombi,Var,Hayır,Eşyalı,1636212
Samsun,Arnavutköy,Daire,4+1,166,193,6-10,9,19,2,Var,Yerden Isıtma,Yok,Evet,Yarı Eşyalı,1068929
Mersin,Kadıköy,Müstakil Ev,1+0,190,236,21-25,Bahçe Katı,1,5,Yok,Kombi,Yok,Evet,Eşyalı,901081
Şanlıurfa,Ataşehir,Rezidans,5+2,174,211,11-15,3,15,4,Var,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyasız,719216
Antalya,Üsküdar,Dubleks,4+2,274,315,11-15,5,16,3,Var,Klima,Var,Evet,Yarı Eşyalı,5089422
Antalya,Fatih,Tripleks,1+1,312,363,26-30,5,8,5,Var,Doğalgaz,Kapalı Otopark,Evet,Yarı Eşyalı,3993174
Ankara,Bakırköy,Daire,3+1,119,139,30+,11,2,2,Var,Klima,Var,Evet,Eşyasız,568291
İzmir,Kadıköy,Villa,4+1,210,245,11-15,Bahçe Katı,3,4,Yok,Yerden Isıtma,Yok,Evet,Eşyalı,4287745
Şanlıurfa,Avcılar,Tripleks,5+1,319,372,16-20,14,18,2,Var,Doğalgaz,Yok,Evet,Yarı Eşyalı,1539065
Adana,Kadıköy,Rezidans,4+2,172,202,30+,11,7,3,Var,Doğalgaz,Kapalı Otopark,Hayır,Eşyalı,390840
Bursa,Şişli,Villa,1+0,454,577,30+,Bahçe Katı,2,5,Yok,Kombi,Açık Otopark,Hayır,Yarı Eşyalı,3192787
Eskişehir,Eminönü,Tripleks,4+2,182,225,11-15,6,12,4,Yok,Soba,Kapalı Otopark,Evet,Yarı Eşyalı,1245742
Gaziantep,Silivri,Rezidans,1+1,129,157,26-30,1,1,4,Yok,Merkezi,Var,Evet,Yarı Eşyalı,305229
Samsun,Beylikdüzü,Villa,5+1,378,424,21-25,Bahçe Katı,3,2,Var,Kombi,Açık Otopark,Hayır,Eşyalı,1491778
Denizli,Arnavutköy,Müstakil Ev,1+0,283,347,11-15,Bahçe Katı,2,2,Var,Merkezi,Açık Otopark,Hayır,Eşyasız,2342373
Gaziantep,Fatih,Daire,1+1,51,61,16-20,1,6,1,Yok,Doğalgaz,Açık Otopark,Evet,Yarı Eşyalı,105543
Mersin,Fatih,Müstakil Ev,2+1,272,317,21-25,Bahçe Katı,2,1,Yok,Merkezi,Açık Otopark,Evet,Eşyasız,1305828
İstanbul,Bahçelievler,Daire,2+1,92,104,26-30,2,15,5,Yok,Merkezi,Var,Hayır,Eşyalı,1297530
Ankara,Maltepe,Villa,1+1,418,499,26-30,Bahçe Katı,1,2,Yok,Merkezi,Kapalı Otopark,Evet,Yarı Eşyalı,5150296
Kayseri,Ataşehir,Tripleks,4+2,254,283,30+,10,1,5,Yok,Klima,Açık Otopark,Evet,Eşyalı,801999
Şanlıurfa,Bahçelievler,Rezidans,1+1,83,105,16-20,1,11,2,Yok,Kombi,Var,Hayır,Yarı Eşyalı,293300
Ankara,Şişli,Rezidans,4+1,191,231,16-20,14,7,4,Var,Yerden Isıtma,Kapalı Otopark,Evet,Eşyasız,1112766
Antalya,Bakırköy,Rezidans,1+0,208,236,30+,2,20,1,Var,Kombi,Var,Hayır,Eşyasız,1034753
Mersin,Bahçelievler,Villa,1+1,290,322,21-25,Bahçe Katı,1,1,Var,Yerden Isıtma,Açık Otopark,Evet,Yarı Eşyalı,2534458
Kayseri,Merkez,Villa,1+0,312,364,30+,Bahçe Katı,3,4,Var,Yerden Isıtma,Açık Otopark,Evet,Eşyasız,789265
Diyarbakır,Zeytinburnu,Dubleks,1+0,180,214,21-25,11,7,1,Yok,Klima,Yok,Evet,Eşyasız,403033
Adana,Bahçelievler,Villa,5+2,468,581,21-25,Bahçe Katı,1,5,Yok,Merkezi,Açık Otopark,Evet,Eşyasız,4986807
Diyarbakır,Arnavutköy,Rezidans,5+2,235,290,0-5,10,8,2,Var,Yerden Isıtma,Var,Evet,Eşyalı,982115
Kayseri,Bahçelievler,Müstakil Ev,5+1,189,208,26-30,Bahçe Katı,2,4,Var,Doğalgaz,Açık Otopark,Hayır,Eşyasız,827242
Diyarbakır,Bağcılar,Villa,5+1,418,500,6-10,Bahçe Katı,3,1,Var,Soba,Açık Otopark,Hayır,Yarı Eşyalı,3785573
Bursa,Çatalca,Müstakil Ev,5+2,295,347,26-30,Bahçe Katı,3,3,Var,Soba,Yok,Evet,Eşyalı,2598417
Samsun,Şişli,Dubleks,2+1,151,179,0-5,8,19,3,Yok,Merkezi,Yok,Hayır,Eşyasız,950123
İzmir,Maltepe,Tripleks,3+1,150,170,6-10,4,11,2,Yok,Soba,Yok,Hayır,Yarı Eşyalı,1613049
Diyarbakır,Üsküdar,Müstakil Ev,4+1,202,237,0-5,Bahçe Katı,1,4,Yok,Soba,Açık Otopark,Evet,Yarı Eşyalı,1520442
Şanlıurfa,Silivri,Daire,3+1,149,184,16-20,5,3,1,Var,Klima,Var,Evet,Eşyalı,641487
Bursa,Eminönü,Rezidans,4+1,110,127,11-15,9,3,5,Yok,Klima,Kapalı Otopark,Hayır,Eşyalı,847779
Kayseri,Beylikdüzü,Müstakil Ev,5+1,246,273,16-20,Bahçe Katı,1,4,Yok,Klima,Yok,Hayır,Eşyalı,814063
Bursa,Avcılar,Daire,5+2,228,294,0-5,9,11,1,Var,Yerden Isıtma,Açık Otopark,Evet,Yarı Eşyalı,2091004
Diyarbakır,Beyoğlu,Rezidans,3+1,155,183,21-25,12,7,5,Var,Merkezi,Kapalı Otopark,Hayır,Eşyalı,373975
Adana,Maltepe,Dubleks,5+1,347,427,26-30,15,15,5,Yok,Soba,Kapalı Otopark,Evet,Yarı Eşyalı,1455238
Şanlıurfa,Eminönü,Villa,4+2,474,568,16-20,Bahçe Katı,3,5,Var,Merkezi,Kapalı Otopark,Evet,Yarı Eşyalı,1342530
Şanlıurfa,Zeytinburnu,Villa,4+1,247,272,11-15,Bahçe Katı,2,3,Yok,Kombi,Kapalı Otopark,Hayır,Eşyalı,1202991
Eskişehir,Fatih,Müstakil Ev,5+2,246,313,26-30,Bahçe Katı,2,4,Yok,Soba,Var,Hayır,Yarı Eşyalı,601852
Kayseri,Silivri,Tripleks,5+2,284,339,11-15,6,13,2,Var,Merkezi,Var,Hayır,Eşyasız,1703515
Eskişehir,Kadıköy,Rezidans,4+1,216,250,11-15,5,19,5,Var,Doğalgaz,Açık Otopark,Evet,Eşyalı,1504855
Şanlıurfa,Kadıköy,Rezidans,4+1,187,231,16-20,15,13,4,Yok,Klima,Var,Hayır,Yarı Eşyalı,477701
İstanbul,Ataşehir,Daire,1+1,80,96,6-10,4,5,3,Yok,Kombi,Açık Otopark,Hayır,Yarı Eşyalı,1498171
Adana,Arnavutköy,Müstakil Ev,4+2,241,310,0-5,Bahçe Katı,3,5,Var,Klima,Yok,Evet,Eşyasız,2374695
Bursa,Şişli,Rezidans,4+1,110,139,6-10,11,10,2,Yok,Merkezi,Açık Otopark,Hayır,Eşyasız,1170325
